"rep","bee","first","prop","trips"
"1C",5,51896.0640900135,0.140320591861899,62
"1C",3,NA,0,0
"1C",39,175272.145590067,0.00825839603596989,10
"1C",69,79298.7862780094,0.175642087821044,1
"1C",55,243508.112710953,0.0362350861688026,72
"1C",45,336993.795948982,0.0113125935784395,8
"1C",58,39360.0385329723,0.000189000189000144,2
"1C",24,175691.479732037,0.0330241187384044,84
"1C",28,268452.828465939,0.182877111240536,38
"1C",51,159127.780014038,0.195212407282535,10
"1C",13,189516.507123947,0.0435266084193804,66
"1C",56,294.12727689743,0.279614721104083,473
"1C",7,251933.129259109,0.0325183374083129,72
"1C",76,334655.458059072,0.0320949231666992,34
"1C",25,NA,0,0
"1C",78,143.626987934113,0.158780939552113,7
"1C",4,171040.303741932,0.309090909090909,220
"1C",29,NA,0,0
"1C",10,241065.274482965,0.0463957652187452,138
"1C",22,1696.46352696419,0.970120481927711,3
"1C",21,250796.460429907,0.0379245283018868,20
"1C",43,427933.810600996,0.0175031632222691,10
"1C",6,163086.787905931,0.0839603487399976,7
"1C",52,251886.46254611,0.0416455053326561,34
"1C",48,255566.136358023,0.0262502076756936,128
"1C",33,253643.132688046,0.024662633783155,40
"1C",30,250754.460346937,0.0438569206842925,68
"1C",31,337832.964271069,0.0172456885778556,14
"2C",26,238999.081934929,0.00259762024467913,6
"2C",90,95703.1563038826,0.0608116597562507,141
"2C",93,200539.011276007,0.00915815427967592,30
"2C",13,169161.287128925,0.0243186582809225,78
"2C",22,235065.07457304,0.0575910931174088,100
"2C",36,199160.842437983,0.0989808739355018,178
"2C",45,152570.756900072,0.0810975609756097,64
"2C",28,146443.745738983,0.0521777258111664,222
"2C",9,227464.227104902,0.0331805682859763,38
"2C",44,330271.584671974,0.0031933767001775,10
"2C",58,231300.067333937,0.0497648902821317,4
"2C",77,225774.224072933,0.0519955477818412,59
"2C",79,245149.760152102,0.0318962153726101,38
"2C",40,210437.695916891,0.0977849810913021,1
"2C",89,239331.749330997,0.0256058527663465,34
"2C",85,232389.902898073,0.030898340644669,102
"2C",24,51847.413285017,0.062686955390818,56
"2C",84,NA,0,0
"2C",4,497453.900862932,0.0559255542377521,78
"2C",52,NA,0,0
"2C",42,109966.514966011,0.127160052437135,88
"2C",75,202739.348675966,0.106649234217407,1
"2C",16,NA,0,0
"2C",25,NA,0,0
"2C",14,144445.575907946,0.0663981288981288,82
"2C",51,244791.926188946,0.0352542372881357,64
"2C",83,95517.1559820175,0.0546594982078854,68
"2C",30,222231.050992012,0.168841630417271,57
"2C",6,226522.225419044,0.0959738846572362,13
"2C",41,233843.405658007,0.262457747246756,41
"2C",46,244936.593106985,0.000131078778345728,2
"2C",7,NA,0,0
