ID,Chainlength,Type,Ret Time,Ret Index,T_1b,T_2b,T_3b,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52,T_53,T_54,T_55,T_56,T_57,T_58,T_59,T_60,T_61,T_62,T_63,T_64,T_65,T_66,T_67,T_68,T_69,T_70,T_71,T_72,T_73,T_74,T_75,T_76,T_77,T_78,T_79,T_80,T_81,T_82,T_83,T_84,T_85,T_86,T_87,T_88,T_89,T_90,T_91,T_92,T_93,T_94,T_95,T_96,T_97,T_98,T_99,T_100,T_101,T_102,T_103,T_104,T_105,T_106,T_107,T_108
C28,28,Alkane,42.621,2800,0,0,0,0,0,0,0.49,0.47,0.36,0.37,0.59,0.59,0.72,0.61,0.69,0,0,0,0.4,0.33,0.52,0.77,0.4,0.53,0.6,0.78,0.83,0.53,0.79,0.63,1.23,0.86,1.57,0.88,0.69,0.69,0.79,0.57,0.6,0.86,0.7,0.7,0.56,0,0.3,0.66,1,0.65,0.73,0.9,0.74,0.56,0.7,1.35,0.51,0.5,0.67,0.81,0.54,0.49,0.76,0.71,0.81,0.7,0.71,0.55,0.53,0.96,0.85,0.51,0.75,0.52,0.36,0.53,0.41,0.58,0.74,0.79,0.61,0.4,0.47,0.37,0.48,0.5,0.44,0.4,0.34,0.94,0.38,0.24,0.32,0.37,0.82,0.48,0.27,0.81,0.32,0.55,0.23,0.77,0.61,1.15,1.1,0.59,1.1,0.91,0.7,0.86
14-MeC28,28,Methyl,43.069,2832,0,0,0,0,0,0,0,0,0.45,0,0,0.82,0.64,0.71,0.36,0,0.61,0,0.63,0.26,0.28,0.39,0.28,0.24,0.27,0.36,0.44,0.4,0.92,0.6,0.77,0.38,0.17,0.32,0.36,0.83,0.13,0.2,0.22,0.13,0.3,0.15,0,0,0,0.15,0.3,0.22,0.23,0.35,0.15,0.14,0.25,0.41,0.08,0.11,1.31,0.31,0,0,0.2,0.16,0.07,0,0,0,0.22,0.18,0,0,0.19,0.17,0,0.1,0,0.1,0.13,0,0.13,0.23,0,0,0,0,0.11,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0.06,0.21,0.06,0.1,0.03,0.15,0.22
C29ene,29,Alkene,43.786,2884,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0.31,0.43,0.49,1.08,0.78,1.55,0.44,0.5,1.58,1.73,1.84,1.6,2.12,1.34,1.01,1.57,3.06,2.06,2,3.43,2.94,1.48,2.92,0.58,0.33,1.69,3.1,2.38,2.08,2.64,2.47,1.37,1.47,2.47,2.92,1.64,7.16,1.8,1.92,0.87,3.61,2.24,1.52,1.88,3.06,1.78,1.35,2.45,5.43,1.8,1.81,3.33,1.14,1.72,1.04,1.66,1.45,1.97,3.76,1.26,1.49,1.37,1.89,1.63,1.6,2.4,0.97,2.41,0.89,0.72,1.62,4.76,3.32,1.76,0.9,3.2,2.08,1.25,0.86,3.26,2.82,4.75,4.11,1.37,3.99,3.23,3.29,3.34
C29,29,Alkane,44.005,2900,5.39,4.21,5.84,10.73,6.84,20.08,12.34,8.58,12.36,11.56,18.13,8.23,11.11,6.96,19.49,19.08,6.45,14.91,10.65,12.41,15.49,16.53,14.73,16.19,16.32,14.89,16.1,14.42,13.56,10.09,12,13.46,23.41,15.22,11.32,9.36,13.87,12.07,9.89,13.53,11.9,15.59,11.8,13.36,17.74,12.87,16.61,7.27,13.96,13.33,17.68,13.95,12.45,13.47,6.53,12.32,9.13,11.02,10.02,17.49,11.05,11.84,17.11,16.01,18.7,9.91,11.77,13.82,13.1,15.54,9.88,7.88,6.77,12.33,9.01,9.17,11.22,17.49,12.12,7.18,11.5,9.34,9.21,14.05,9.02,8.41,8.01,17.69,12.86,5.16,11.63,9.95,15.03,18.46,6.63,16.63,5.89,11.09,13.42,16.12,8.37,9.54,13.74,8.11,16.47,14.34,8.18,14.02
15-;13-;11-MeC29,29,Methyl,44.414,2931,12.5,13.42,14.92,12.38,15.52,11.77,5.22,16.9,15.42,15.31,15.37,18.47,15.68,18.52,16.46,16,17.89,12.36,12.43,15.09,9.93,9.76,12.7,8.88,7.5,7.11,8.78,10.38,14.24,13.27,9.11,6.04,4.54,6.1,5.65,13.55,3.22,4.18,5.49,3.31,6.13,4.14,4.42,4.76,4.28,3.85,6.4,3.3,4,4.62,3.69,3.49,4.69,4.18,1.46,3.14,3.58,5.52,2.87,3.24,3.64,2.36,2.79,3.31,5.23,3.34,4.71,3.54,1.6,1.44,4.21,3.55,1.2,2.44,1.83,2.46,2.76,2.29,2.72,2.63,2.45,0.94,2.15,3.28,2.87,2.69,0.75,1.5,2.26,1.4,1.41,1.7,3.04,2.5,1.11,2.46,1.78,1.14,2.05,1.54,2.15,1.36,1.98,1.29,1.66,0.66,2.04,2.02
"11,17-diMeC29",29,Dimethyl,44.808,2960,0.62,0.45,1.38,0,0,1.19,0.27,1.05,2.1,1.57,0.91,2.34,2.16,2.11,1.83,0,2.32,1.74,1.98,2.67,1.35,1.88,1.76,1.97,1.24,1.43,1.89,2.23,2.9,1.83,2.17,1.31,1,1.4,1.52,3.78,0.72,1,1.53,0.77,1.44,1.06,0.57,0,0.36,0.78,1.12,0.83,0.98,1.05,0.41,0.5,1.23,1.14,0.26,0.55,0.74,1.42,0.52,0.48,0.45,0.42,0.62,0.42,0.58,0.47,0.9,0.75,0.14,0.14,0.83,0.87,0.14,0.51,0,0.34,0.59,0.29,0.4,0.22,0.22,0,0.17,0,0.32,0.35,0,0,0.19,0,0,0.18,0.46,0,0,0.3,0.12,0,0,0,0.28,0.44,0.48,0.25,0.35,0.1,0.47,0.44
"5,17-diMeC29",29,Dimethyl,45.082,2981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0.3,0.26,0.32,0.33,0.31,0.53,0,0.73,0.6,0.29,0.43,0.52,0.6,0.59,0.61,0.28,0.31,0.26,0.5,0,0,0,0.48,0.59,0.16,0.72,0.85,0,0.26,0.55,0.37,0,0.25,0.71,0.29,0,0,0.15,0.51,0.43,0,0,0,0.5,0.63,0.32,0.37,0,0,0,0.56,0,0,0,0,0.47,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.14,0.68,0.13,0.73,0.27,0.36,0.36
C30,30,Alkane,45.334,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.29,0,0,0,0.47,0.37,0.53,0.42,0.34,0,0.36,0.33,0,0.22,0,0.39,0,0,0,0.34,0.27,0.13,0.42,0.36,0.28,0.33,0.3,0.5,0,0.28,0.33,0.2,0,0,0.16,0.39,0.51,0.23,0,0,0.24,0.35,0.12,0.26,0,0,0,0.39,0,0,0.19,0.18,0.17,0,0.24,0,0,0,0,0,0,0.17,0.35,0,0,0,0,0,0,0.17,0,0.11,0,0.41,0,0.13,0.52,0.15,0.6,0.22,0.29,0.32
15-;14-;12-MeC30,30,Methyl,45.751,3033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0.48,0.24,0,0.17,0.15,0.36,0.08,0.11,0.12,0,0,0,0,0,0,0.09,0.15,0,0.12,0.18,0,0,0.12,0.15,0,0,0.19,0.19,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.03,0,0.07,0
C31diene,31,Alkadiene,46.135,3063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.09,0.12,0.16,0.21,0,0.11,0.11,0.29,0.25,0.69,0.14,0.24,0,0,0.09,0.18,0.15,0.38,0.2,0.22,0.18,0.3,0.46,0.25,0.21,0.69,0.49,0.12,0,0.33,0.17,0.13,0.17,0,0,0.25,0.33,0.16,0.14,0.28,0.14,0,0.32,0,0.12,0.09,0.12,0.38,0,0.18,0,0,0,0.2,0.32,0,0.06,0,0,0,0.29,0.12,0,0,0.12,0,0,0,0.19,0,0.3,0.86,0.11,0.73,0.07,0.19,0.27
